CID,kmeans_cluster,hierarchical_cluster
8680,0,21
10870,0,21
8404,0,21
187815,0,21
520522,0,21
13415,0,21
8657,0,21
9938,11,21
13621,0,21
528288,0,21
13629,0,21
7602,0,21
33045,0,21
33044,0,21
8864,0,21
7450,0,21
17877,0,21
519358,0,21
13403,0,21
20832,0,21
13627,0,21
519365,0,21
7734,0,21
7486,0,21
15653,0,21
11345,0,21
7378,0,21
28812,0,21
15645217,0,21
519210,0,21
20197,0,21
14315,0,21
6735,0,21
11903,0,21
10703,0,21
62410,0,21
14091,0,21
33712,0,21
15327,0,21
12100,0,21
10812,0,21
14092,0,21
12160,0,21
519195,0,21
7463,0,21
524159,0,21
14095,0,21
7390,0,21
13023,0,21
81828,0,21
15263,11,21
528692,0,21
14718041,0,21
520964,0,21
13652,0,21
107203,0,21
13213,0,21
10296,0,6
16302,0,21
64813,8,6
1674,20,21
14527,0,21
23151,0,21
31242,8,6
13211,0,21
13033,0,21
520963,0,21
13402,0,21
520962,0,21
95717,0,21
40814,0,21
6734,0,21
7410,0,10
9309,0,21
521731,0,21
107,0,21
7647,0,21
519965,0,21
168556,0,21
7500,0,21
18940,11,21
10326,0,21
16294,0,21
7406,0,21
7929,20,21
7705,0,21
14109,0,21
10864,0,21
7668,0,21
16607,0,21
12580,8,6
520475,0,21
7809,20,21
10222,20,21
17627,0,21
20758369,0,21
7366,0,21
33047,0,21
1140,20,21
143127,3,4
549623,3,4
35363,3,4
35367,3,4
15102861,3,4
107263,3,4
18309,3,4
20615,3,4
35365,3,4
11549,3,4
15421,3,4
28030,3,4
94277,3,4
94276,3,4
15507,3,4
35368,3,4
91517,3,4
17779,3,4
186252,3,4
11416,3,4
17148,3,4
35364,3,4
18371935,3,4
530173,3,4
549923,3,4
108537,3,4
136729,3,4
19502,3,4
35411,3,4
519283,3,4
316554,3,4
27938,3,4
19503,3,4
7459,3,4
47689,3,4
14283207,3,4
18625,3,4
10115,3,4
521425,3,4
521416,3,4
28021,3,4
20414,3,4
26058,3,4
26839,3,4
28022,3,4
519761,3,4
518457,3,4
14062,3,4
85150,3,4
28023,3,4
13533,3,4
11269,3,4
140667,3,4
14045,3,4
19944,3,4
86544,3,4
26375,3,4
11447,3,4
23531,3,4
11260,3,4
77653,3,4
89303,3,4
137658,3,4
520357,3,4
16656,3,4
11511,3,4
524749,3,4
92978,3,4
7907,3,4
14478,3,4
519394,3,4
16662,3,4
11592,3,4
28456,3,4
139988,3,4
19773,3,4
19774,3,4
139395,3,4
14069,3,4
28457,3,4
16319,3,4
28453,3,4
528473,3,4
14070,3,4
528474,3,4
517733,3,4
549957,3,4
15270,3,4
11863,3,4
94249,3,4
23415,3,4
11594,3,4
