CID,kmeans_cluster,hierarchical_cluster
8680,13,4
10870,13,4
69848,13,4
8404,13,4
10263,13,4
10695,13,4
12462,22,4
187815,13,4
520522,13,4
10686,13,4
70145,28,4
7269,13,4
13415,13,4
7247,13,4
19753,28,4
11535,16,0
8657,13,4
9938,13,4
68126,22,4
13621,13,4
528288,13,4
33937,13,4
13629,13,4
11317,28,4
11588,16,0
7602,13,4
7947,13,4
33045,13,4
33044,13,4
8864,13,4
7450,13,4
17877,13,4
519358,13,4
13403,13,4
20832,13,4
13627,13,4
6431285,28,4
11327,28,4
519365,13,4
16478,28,4
180933,28,4
7734,13,4
69155,13,4
7486,13,4
15653,13,4
11304,28,4
11345,13,4
11587,16,0
11306,28,4
11328,28,4
337121,16,17
11326,28,4
68084,28,4
11287,28,4
7378,13,4
90902,22,4
7810,4,2
28812,13,4
15645217,28,4
519210,13,4
20197,13,4
14315,28,4
6735,23,4
18779,28,4
12871038,23,4
11903,13,4
10703,13,4
62410,13,4
14091,13,4
33712,13,4
15327,13,4
12100,13,4
10812,13,4
14092,13,4
12160,13,4
519195,13,4
7463,13,4
524159,13,4
14095,13,4
70155,28,4
7390,13,4
93496,28,4
86258,28,4
146998,28,4
15604,28,4
13023,13,4
33781,28,4
7002,28,4
13257,28,4
16932,28,4
7304,1,4
13432,23,4
92839,22,4
11795,28,4
81828,13,4
31259,14,0
14296,1,4
16732,28,4
9201,28,4
11249,16,0
11386,28,4
7869,16,0
28226,28,4
30215,13,4
10698,13,4
12260,16,0
19462,23,4
11897,23,4
7907,14,0
7261,1,4
12266,23,4
22015,23,4
11892,23,4
12439,23,4
11387,28,4
11396,28,4
4944,22,4
8247,1,4
5897,28,4
15263,13,4
20534,13,4
10757,23,2
182210,22,4
16265,13,4
528692,13,4
12970,16,0
14718041,28,4
520964,13,4
18554,23,4
13652,28,4
6997,23,4
19966,16,0
14104,22,4
3314,22,4
7144,22,4
10553,16,0
12243,16,0
520802,16,0
7471951,28,4
107203,13,4
10797,23,4
39145,16,0
11936,28,4
20263,23,4
12563,28,4
18782,28,4
15026,28,4
13213,13,4
7055,28,4
17321,28,4
18932,28,4
8663,23,4
11831,28,4
19602,22,4
12053,23,4
11934,28,4
10296,23,4
8411,23,4
18852,14,0
8413,28,4
8419,23,4
23866,14,0
32737,16,0
12073,23,4
16302,13,4
10383,22,4
15304,28,4
92373,28,4
64813,22,4
88939,23,4
138074,16,0
13587,23,4
12564,28,4
1674,28,4
18781,28,4
13025,13,4
6736,28,4
13258,28,4
14527,13,4
7577,28,4
30214,1,4
23151,13,4
176439,22,4
7102,28,4
2723,23,2
62465,22,4
31242,23,4
61712,22,4
1183,23,4
10393,22,4
12724,16,0
103002,16,0
7515,1,4
12566,28,4
13211,13,4
18784,28,4
12161,13,4
13033,13,4
524975,22,4
520963,13,4
332,23,4
9147,28,4
77058,14,0
18849,16,0
19427,28,4
13402,13,4
11769,23,4
520962,13,4
8417,22,4
15564,28,4
6001,28,4
33105,23,4
17347,28,4
44368,28,4
9134,28,4
95717,28,4
13076,28,4
69504,28,4
13068,28,4
13438,28,4
11766,28,4
40814,13,4
73557399,13,4
6734,28,4
9161,28,4
9143,28,4
7410,23,4
2214,23,4
9215,28,4
6581,22,4
9309,13,4
226327,22,4
6115,1,4
7519,23,4
8418,28,4
7018,23,4
5954,28,4
240,23,4
6697,28,4
241,28,4
107,23,4
7111,28,4
