CID,kmeans_cluster,hierarchical_cluster
8680,0,0
10870,0,0
69848,0,23
8404,12,0
10263,12,0
10695,12,0
187815,0,0
520522,0,0
70145,0,0
13415,0,0
7247,12,0
19753,0,0
8657,12,0
9938,12,0
68126,0,0
13621,12,0
528288,0,0
33937,0,23
13629,0,0
11317,0,0
7602,0,0
33044,0,0
8864,0,0
17877,12,0
519358,0,0
13403,0,0
20832,0,23
13627,12,0
11327,0,0
7734,0,23
69155,12,0
15653,12,0
11304,12,0
11328,0,0
11326,0,0
28812,0,0
108537,4,1
15645217,0,0
519210,0,0
14315,0,0
11903,12,0
10703,12,0
62410,0,0
14091,0,0
316554,4,6
15327,0,23
12100,12,0
10812,12,0
14092,0,0
12160,0,0
19503,4,1
519195,0,0
7463,0,23
14095,0,23
15604,5,0
13023,12,0
7002,12,0
16732,0,0
11386,0,0
15263,0,23
16265,12,0
528692,12,0
14718041,0,0
520964,0,0
13652,0,0
6997,12,0
14104,0,0
107203,0,0
12563,0,0
94249,4,1
13213,12,0
7055,0,0
13025,12,0
14527,0,0
23151,12,0
62465,18,7
31242,18,7
12161,0,23
520963,0,0
13402,12,0
520962,0,0
40814,12,0
9309,0,23
7519,12,0
35412,4,6
138178,4,1
6629,18,7
107252,4,1
519965,12,0
40638,12,0
168556,12,0
7500,12,0
16294,0,23
7406,12,0
23468,4,1
13024,12,0
24055,0,7
11869,12,0
949,12,0
7705,0,23
7668,0,0
520475,0,0
316565,13,1
15505,4,1
17627,0,0
7366,12,0
33047,0,0
5370622,0,23
137923,4,1
137816,4,1
12500,0,23
143127,22,1
35365,4,6
18371935,4,6
528437,22,1
528441,22,1
19502,4,6
27938,4,6
7459,4,1
521425,4,6
521416,4,1
28021,4,6
26839,4,1
519761,4,1
518457,14,1
14062,4,1
85150,22,1
13533,4,6
140667,4,1
14045,4,6
19944,4,1
86544,22,1
140599,22,1
26375,4,1
11447,4,6
23531,22,1
89303,4,1
520357,22,1
16656,4,1
524749,22,1
92978,22,1
14478,4,1
