CID,kmeans_cluster,hierarchical_cluster
528971,2,4
181154,2,4
94310,2,4
176293,2,4
12303119,2,4
23284,2,4
521731,2,4
612782,2,4
86052,2,4
28813,2,4
3240,2,4
11694869,2,4
8346,2,4
8343,2,4
3026,2,4
23368,2,4
12399,2,4
8559,2,4
3017068,2,4
8194,2,4
75458,2,4
20511,2,4
6857535,2,4
247705,2,4
22199,2,4
13297142,2,4
141135,2,4
33022,2,4
14900,2,4
22434,2,4
18027,2,4
71552,2,4
12398,2,4
23598,2,4
81464,2,4
3084462,2,4
984,2,4
23250,2,4
73796,2,4
526118,2,4
519147,2,4
182192,2,4
74399,2,4
8203,2,4
617007,2,4
516981,2,4
8202,2,4
247581,2,4
13584,2,4
8139,2,4
53705,2,4
41517,2,4
15609,2,4
22048,2,4
3032412,2,4
20017,2,4
15610,2,4
8201,2,4
8181,2,4
41431,2,4
75546,2,4
85778983,2,4
12400,2,4
75519,2,4
90864,2,4
24699,2,4
12405,2,4
12404,2,4
12403,2,4
12410,2,4
11636,2,4
12407,2,4
12409,2,4
17900,2,4
8221,2,4
8164,2,4
12406,2,4
12413,2,4
12592,2,4
12534,2,4
12411,2,4
10446,2,4
12401,2,4
114842,2,4
19775,2,4
3084376,2,4
11635,2,4
20514,2,4
16607,2,4
15712,2,4
8927,2,4
17697,2,4
149211,2,4
15979,2,4
76007601,2,4
579897,2,4
86821,2,4
102778,2,4
1105,2,4
12444466,2,4
12943206,2,4
53703939,2,4
122544,2,4
99091,2,4
557529,2,4
31291,2,4
12389,2,4
62072,2,4
33650,2,4
155761,2,4
25311,2,4
76262,2,4
102646,2,4
23296,2,4
40997,2,4
8430,2,4
528437,2,4
530173,2,4
18936,2,4
3015374,2,4
12395,2,4
29075,2,4
528972,2,4
17095,2,4
15270,2,4
137081,2,4
23459,2,4
529827,2,4
28469,2,4
94322,2,4
13845,2,4
519256,2,4
521958,2,4
520454,2,4
18972702,2,4
519423,2,4
94213,2,4
13561,2,4
520743,2,4
520357,2,4
28453,2,4
528473,2,4
528475,2,4
519395,2,4
528477,2,4
528478,2,4
19773,2,4
19774,2,4
28474,2,4
8183,2,4
8222,2,4
11006,2,4
8182,2,4
22328,2,4
12388,2,4
12391,2,4
12523,2,4
15715,2,4
32934,2,4
22327,2,4
176692,2,4
519397,2,4
519424,2,4
18781,2,4
15564,2,4
17347,2,4
528476,2,4
519391,2,4
41359,2,4
560947,2,4
9163,2,4
9176,6,4
9162,2,4
9106,2,4
9119,6,4
43254,6,4
101602,2,4
238792,2,4
518574,2,4
31284,2,4
22833468,2,4
1674,2,4
7785,2,4
6001,2,4
11766,2,4
14619934,2,4
26318,2,4
15304,2,4
18779,2,4
18782,2,4
519394,2,4
28468,2,4
519396,2,4
528441,2,4
74138,2,4
85014,2,4
29303,2,4
15076,2,4
80281,2,4
87821,2,4
82436,2,4
87639,2,4
20414,2,4
21414,2,4
61303,2,4
11622,2,4
21771602,2,4
86544,2,4
139395,2,4
528474,2,4
517733,2,4
26058,2,4
31259,2,4
15713,2,4
86869,2,4
557966,2,4
15714,2,4
11008,2,4
12052911,2,4
29777,2,4
21832,2,4
442381,2,4
520159,2,4
242342,2,4
221023,2,4
225688,2,4
225689,2,4
244297,2,4
24773,2,4
19427,6,4
274991,2,4
612828,2,4
12412,2,4
607552,2,4
13908485,2,4
41518,2,4
12408,2,4
26519,2,4
12535,2,4
89671,2,4
23599,2,4
181174,2,4
12304198,6,4
10222,2,4
14985,2,4
13908486,2,4
20149,2,4
43250,2,4
5997,2,4
586537,2,4
3084097,2,4
14283207,2,4
220273,2,4
47689,2,4
6857529,2,4
18625,2,4
10115,2,4
14259,2,4
3035468,2,4
13387,17,1
7304,17,1
8028,17,1
17725,17,9
12266,17,1
7947,11,1
12585,17,1
8452,17,17
6495,17,1
15413,17,1
136673,17,1
643935,17,1
14263,17,1
15658,17,1
40814,11,11
11523,11,1
13211,17,1
13402,17,1
6492,17,1
10326,17,1
9154,17,1
6654,17,1
6431006,17,1
3283,17,1
7809,17,1
938,17,1
176,17,1
6228,17,1
8404,17,1
13023,17,11
13213,17,1
73813,17,1
10419,17,1
8071,17,1
10795,17,17
12512,11,11
11574,17,1
15604,11,11
7301,17,1
136353,17,1
70934,17,1
11250,17,1
19462,17,1
12746,17,1
6590,17,1
6919,17,1
6853,17,1
284,17,1
760,17,1
7219,17,1
1032,17,1
6998,17,1
300,17,1
943,17,1
10340,0,15
30215,17,1
137448,17,1
713,4,1
61247,17,11
6947,17,1
13587,17,1
980,17,1
11601,17,1
1140,17,1
9005,17,17
33105,17,1
10430,17,1
7991,10,1
8079,17,1
8020,17,1
8254,17,1
1068,17,9
8373,17,1
1018,17,1
30214,4,9
243,17,1
264,17,1
679,4,9
25403,17,1
12260,17,1
10686,17,11
523224,17,1
10037,4,9
31275,17,1
138026,17,1
11240,17,1
13009,17,1
4093,17,1
10797,17,1
12970,17,11
12256,17,1
757,17,1
612,17,1
121731,17,1
66775,17,1
7929,17,1
8027,4,9
1060,17,1
867,17,1
971,17,1
7903,1,9
79123,9,2
10351,1,9
8419,1,9
7847,1,9
240,1,9
307,1,9
12259,1,9
8029,4,9
7302,4,9
7819,9,2
15575,9,2
7294,9,2
7725,1,9
7501,9,2
34335,1,9
5281426,1,9
7904,1,9
12720,4,9
10336,1,9
8901,1,9
11552,1,9
527,1,9
8063,1,9
8857,4,9
88939,4,9
74208,1,9
136882,1,9
12097,1,9
11050,1,9
7918,1,9
7410,1,9
8113,9,2
13578,1,9
10249,1,9
12333591,1,9
880,9,2
261,1,9
6561,4,9
20138,1,9
6570,1,9
6658,1,9
8025,1,9
756,1,9
7865,4,9
16212386,1,9
7672,1,9
13143,1,9
6724,1,9
9161,9,2
7855,1,9
7505,1,9
9550,4,9
6735,1,9
7471951,1,9
6849,1,9
11392,1,9
12417,1,9
6562,1,9
9997,1,9
8530,9,2
6693,1,9
10757,1,9
398,1,9
12475,1,9
7362,1,9
7860,1,9
8871,1,9
11724,1,9
6124,1,9
6046,4,9
12307,1,9
7416,1,9
6587,1,9
6375,1,9
8711,9,2
6585,1,9
13651,1,2
6811,1,9
7854,4,9
9222,8,8
942,1,0
768,4,9
6347,4,9
94210,14,10
21896169,2,4
19633,2,4
8247,8,8
12462,13,8
6579,8,8
6115,8,8
135442,8,8
7344,8,8
385,8,8
8129,8,8
8051,13,0
7242,8,8
25203927,8,8
18827,8,8
8076,8,8
6997,8,8
75103,8,8
11587,8,8
7298,8,8
31260,8,8
853433,8,8
6276,8,8
15286,8,8
10687,8,8
6629,8,8
31242,8,8
7456,8,8
342,8,8
7966,8,8
263,8,8
8038,13,0
10393,8,8
7515,8,8
7017,8,8
8117,8,8
8064,8,8
14846,8,8
18554,8,1
99937,8,8
15287,8,8
20534,8,11
8663,8,8
5641,8,8
174,8,8
753,8,8
460,8,8
13360,8,8
3776,8,8
79029,8,8
442649,8,8
8880,8,8
13543,8,8
7005,8,8
7000,8,8
32881,8,8
31256,8,8
936,8,8
4,8,8
7902,8,8
335,8,8
17756,8,8
24977797,13,8
6328,13,8
26042,8,8
5897,14,10
6490,14,10
14256,14,10
8190,14,10
24752,14,10
4678,14,10
8923,14,10
25054,14,10
91948,14,10
93390,14,10
226486,14,10
31404,14,10
8193,14,10
8411,14,10
8413,14,10
103528,14,10
4928,14,10
422780,9,2
9215,9,2
7965,9,2
7497,9,2
69240,9,2
7343,9,2
12105,9,2
8846,9,2
64150,9,2
1146,9,2
7020,9,2
22129,9,2
11807,9,2
7912,9,2
8471,9,2
9253,9,2
11904,9,2
7165,9,2
6734,9,2
9143,9,2
10722,9,2
1531,9,2
8418,9,2
9033,9,2
11642,9,2
260716,0,9
674,9,2
6341,9,2
8821,9,2
26331,9,2
7150,9,2
8405,9,2
62010,9,2
73557399,3,2
7018,9,2
2724127,9,2
1474,9,2
323,9,2
568,9,2
8021,9,2
4837,9,2
9938,9,2
69155,9,2
13652,9,2
7002,9,2
650,9,2
145744,9,2
15570,9,9
5976,9,2
7852,9,2
8461,9,2
31261,9,2
6377,9,2
34224,9,2
81530,9,2
82744,9,2
7923,9,2
6329,9,2
931,9,2
14315,9,2
4650,9,2
6061,9,2
3301,9,2
89180,3,2
7245,7,9
12232,7,9
359,8,8
6575,7,9
76004,9,6
785,8,8
5054,8,8
7239,7,9
2723,7,9
33344,7,9
7503,7,9
10967,7,9
6497,7,9
6564,7,9
7810,7,9
7238,7,9
6366,7,9
17520,7,9
39800,7,9
7394,7,9
996,8,8
7900,8,8
4685,7,9
182210,6,4
9183,6,4
31288,6,7
14215,6,4
17317,6,4
248269,6,4
95717,6,4
220995,6,4
20967,2,4
162093,2,4
38479,2,4
78173525,2,4
31357,2,4
97746,2,4
75364,2,4
7570,2,4
620189,2,4
14325074,6,4
4900,2,4
14050,10,7
5192,10,1
12736,10,7
10457,10,1
15816,10,1
62847,5,7
1017,10,1
16698,10,1
2266,10,1
11288,10,1
10708,10,1
11138,10,1
15204,10,7
7052,10,1
14332,5,7
10155,10,1
8094,5,7
162384,5,7
19844,10,1
79735,10,1
13539,8,8
244,8,8
9984,14,10
798,8,8
12580,8,8
8655,14,10
13033,3,11
9309,3,2
92629,8,8
179,8,8
1183,8,8
18940,3,11
237332,8,8
7469,8,8
2214,8,8
162406,8,8
670,8,8
92839,8,8
12053,8,8
10821,8,8
24055,8,8
12699,8,8
4133,8,8
223,8,8
408,3,2
16402,9,2
8908,3,2
31276,3,2
7500,3,0
8132,9,2
8111,9,2
107203,3,2
89125,9,2
8698,9,2
66084,3,2
409,9,2
13521,6,4
2347,6,4
47326,6,4
6781,6,4
6053,2,4
8362,14,10
2336,6,4
12025,18,3
7820,18,3
11124,18,3
7276,18,3
22386,8,8
7870,8,8
3032390,8,8
61868,8,8
6405,8,8
5463846,8,8
12756,18,3
7749,18,3
7915,18,3
11583,18,3
702,8,8
6568,8,8
7742,18,3
7896,8,8
17595,18,3
8087,8,8
8054,18,3
7762,18,3
7946,18,3
700,8,8
12180,18,3
15394,18,3
62447,19,12
125339,19,12
75481,19,12
12329,19,12
12813,19,12
7714,19,12
19801,19,12
8175,19,12
83756,9,2
24121,15,4
9134,6,4
7187,6,4
5541,6,4
15659,6,4
68245,6,4
1103,15,2
606469,6,4
5569,6,4
24730,15,2
9146,6,4
9128,6,4
9152,6,4
9142,6,4
67450,6,4
154901,6,4
17253,6,4
39184,6,4
180933,6,4
114893,6,4
35842,15,4
21502,15,4
33528,6,4
29393,6,4
9177,15,2
7618,9,2
5565,15,2
16450,9,2
6710,14,10
8554,9,2
8441,9,2
6581,9,2
6780,9,2
11803,9,2
17857,15,18
7850,7,9
8115,7,9
6163,7,9
6213,7,9
31347,7,2
10900,7,9
6373,7,9
9869,7,9
6338,7,9
6343,7,9
7047,4,9
6326,4,9
241,4,9
7222,7,9
7964,7,9
6372,7,9
6212,7,9
7864,7,9
31369,7,9
6344,7,9
6278,7,9
6574,7,9
6573,7,9
7845,4,9
7612,4,9
7931,7,9
13129,7,9
15586,7,9
6365,7,9
6368,7,9
24883,7,9
9223,7,9
5971,7,9
31240,7,9
7835,7,9
6337,7,9
11,7,9
6327,7,9
11167,7,9
878,7,9
10943,7,9
