"APDB_idx","AID","Molecule_CID","SID","Activity_Outcome","Target_GI","Target_GeneID","Target_Symbol","UniProtKB","Activity_Value_uM","Activity_Name","Assay_Name","Assay_Type","PubMed_ID"
"B.1",1346982,6591,144207272,"Active",325495557,8856,"NR1I2","O75469",54.9817,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.2",1347395,6574,144209663,"Active",177975,43,"ACHE","P22303",36.7673,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA
"B.3",1346982,6366,144207555,"Active",325495557,8856,"NR1I2","O75469",57.9916,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.4",1671197,6366,144207555,"Active",55140668,1557,"CYP2C19","P33261",75.5785,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.5",1671199,7247,144210369,"Active",119619719,1544,"CYP1A2","P05177",29.623,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.6",1671197,6564,144207560,"Active",55140668,1557,"CYP2C19","P33261",70.8062,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.7",743079,7834,144207405,"Active",348019627,2099,"ESR1","G4XH65",66.433,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line","Confirmatory",NA
"B.8",743040,7947,144208650,"Active",124375976,367,"AR","P10275",NA,"Potency","qHTS assay to identify small molecule agonists of the androgen  receptor (AR) signaling pathway using the MDA cell line","Confirmatory",NA
"B.9",1259248,10943,144209377,"Active",348019627,2099,"ESR1","G4XH65",17.1064,"Potency","qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line in the presence of 0.1 nM 17-beta-estradiol: Summary","Summary",NA
"B.10",1671197,10943,144209377,"Active",55140668,1557,"CYP2C19","P33261",62.7967,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.11",1671197,31275,144208169,"Active",55140668,1557,"CYP2C19","P33261",36.4466,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.12",1671197,11345,144209956,"Active",55140668,1557,"CYP2C19","P33261",39.9475,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.13",1671198,11345,144209956,"Active",527178914,1559,"CYP2C9","P11712",39.9475,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.14",1671199,11345,144209956,"Active",119619719,1544,"CYP1A2","P05177",35.6032,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.15",1671201,11345,144209956,"Active",115371803,1576,"CYP3A4","P08684",22.4641,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.16",1159553,13387,144209548,"Active",325495463,5914,"RARA","P10276",NA,"Potency","qHTS assay to identify small molecule agonists of the retinoic acid receptor (RAR) signaling pathway","Confirmatory",NA
"B.17",1345665,13387,336446906,"Active",19718731,23476,"BRD4","A0A024R7H8",NA,NA,"Human bromodomain containing 4 (Bromodomain kinase (BRDK) family)","Other",24813887
"B.18",1346982,13387,144209548,"Active",325495557,8856,"NR1I2","O75469",63.1878,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.19",1159553,7390,144209527,"Active",325495463,5914,"RARA","P10276",NA,"Potency","qHTS assay to identify small molecule agonists of the retinoic acid receptor (RAR) signaling pathway","Confirmatory",NA
"B.20",241172,7002,103463857,"Active",1746750942,1548,"CYP2A6","P11509",34,"IC50","Inhibitory concentration against human cytochrome P450 2A6","Confirmatory",15658857
"B.21",420671,7002,103463857,"Active",1746750942,1548,"CYP2A6","P11509",33.9625,"IC50","Inhibition of human CYP2A6","Confirmatory",19110342
"B.22",743122,7002,144208966,"Active",51095037,196,"AHR","A0A024R9Z8",NA,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary","Summary",NA
"B.23",1671197,7002,144210657,"Active",55140668,1557,"CYP2C19","P33261",70.9799,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.24",588514,8125,17389440,"Active",348019627,2099,"ESR1","G4XH65",12.5893,"Potency","qHTS assay for small molecule agonists of estrogen receptor alpha signaling","Confirmatory",NA
"B.25",1259369,8125,144207850,"Active",109731339,2737,"GLI3","P10071",58.8994,"Potency","qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway","Confirmatory",NA
"B.26",1259392,8125,144207850,"Active",109731339,2737,"GLI3","P10071",41.6976,"Potency","qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary","Summary",NA
"B.27",651741,8004,17389439,"Active",20149576,4780,"NFE2L2","Q16236",66.8242,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.28",651777,8004,17389439,"Active",51095037,196,"AHR","A0A024R9Z8",22.3872,"Potency","qHTS assay for environmental chemicals that activate the Aryl hydrocarbon Receptor (AhR) signaling pathway","Confirmatory",NA
"B.29",1224839,10907,144208325,"Active",66775687,9970,"NR1I3","Q14994",63.4379,"Potency","qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway","Confirmatory",NA
"B.30",1671196,10907,144208325,"Active",1047837853,1565,"CYP2D6","C1ID52",36.9133,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
