Molecule_CID,Chemical_Name,Spin_multiplicity,QM_Basis,No_canonical_orbitals,Geometry_convergence_category,Gas_Phase_Energy,Final_Energy,HOMO,LUMO,Polarizability,QM_Dipole,QM_Dipole_X,QM_Dipole_Y,QM_Dipole_Z,Lowest_Frequency,Highest_Frequency,Second_Lowest_Frequency,Num_Negative_Frequencies,Zero_Point_Energy,Entropy,Enthalpy,Free_Energy,Internal_Energy,Heat_Capacity,ln_Q,Total_Internal_Energy,Total_Enthalpy,Total_Free_Energy,alpha_HOMO,alpha_LUMO,beta_HOMO,beta_LUMO,S2_Value,tautomer_probability,Ionization_Penalty,Ionization_Penalty_Charging,Ionization_Penalty_Neutral,State_Penalty,Charging_Adjusted_Penalty,Tot_Q,Tot_abs_Q,Energy,Chemistry_Notes
528971,1-Heptacosene,1,cc-pvtz(-f),1098.0,3.0,-1061.8586326452,-1061.8586326452,-0.254592322688984,-0.029015425323923,336.426187248006,0.429655141636461,-0.401883733808094,-0.13842522209766,0.062701380545614,18.6875685268274,3176.61703957182,25.7686195558222,0.0,479.176184518807,199.756121451785,21.1868696463139,-38.3704179645358,20.5943840574867,126.272993284692,64.7617742745163,-1061.06219754347,-1061.06125335758,-1061.15616393735,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.398261,
13387,1-Methyl-2-pyrrolidinone,1,cc-pvtz(-f),241.0,0.0,-326.065733837522,-326.065733837522,-0.241367152123843,0.01698382265564,67.354710770426,3.90386929616553,0.687300933895409,-3.83953504625072,-0.160572526986595,172.624905155113,3090.28019092374,180.656613100586,0.0,86.7495565967584,79.817330894352,4.75540201286524,-19.0421351932858,4.16291642403797,24.6049237696823,32.1394065144715,-325.920855588878,-325.919911402986,-325.957835192736,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.963149,
7304,1-Methylpyrrole,1,cc-pvtz(-f),200.0,0.0,-249.567654689489,-249.567654689489,-0.211266013228782,0.025195305274721,61.7916339891021,2.13436377639314,-2.13423188664688,0.023727279412595,1.4510829205e-05,151.146978571245,3215.1828918189,226.910546924075,0.0,68.8639316863865,73.2490783534221,3.95065675598015,-17.8885559550927,3.35817116715287,19.8319056856314,30.1923899794762,-249.452561441807,-249.451617255915,-249.486420256914,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621472,
7903,1-Nitropropane,1,cc-pvtz(-f),201.0,0.0,-323.767046579803,-323.767046579803,-0.307382156842818,-0.083079732866586,52.4712903582124,3.85495554809233,-1.64785006553579,3.48500678222324,-0.000408827062612,90.4417217153779,3111.89844931091,136.732715883046,0.0,67.1671662337287,79.3213314367196,4.60107971714189,-19.048575250716,4.00859412831462,21.781848231376,32.150276074089,-323.653620785031,-323.652676599139,-323.690364723539,,,,,,,0.0003,0.0,0.0003,0.0002,0.00021233897834,0.0,2.0,1.488319,
181154,1-Tricosene,1,cc-pvtz(-f),936.0,4.0,-904.540655207296,-904.540655207296,-0.239421293085406,0.0260328660913,285.31595312142,0.502934602706111,-0.044755372873977,-0.07836697620953,0.494771450508051,21.747146281165,3165.13732738974,30.1330045778774,0.0,407.549523288479,179.191758887674,18.1272668270689,-35.298756085291,17.5347812382416,107.382563518497,59.5774087183436,-903.863240244098,-903.862296058206,-903.947435845677,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.535517,
8247,2-Acetyl-1-phenylhydrazine,1,cc-pvtz(-f),338.0,0.0,-495.76542953755,-495.76542953755,-0.228660384335824,-0.022676627129741,108.727297468069,2.99595140564732,-2.06177393941792,-0.006772554177265,2.17365295763771,61.111778873584,3560.94245644254,77.4260561777212,0.0,107.522532484571,96.5019481804498,6.73396725079167,-22.0380885992094,6.1414816619644,38.0757216185514,37.195990948624,-495.584294400025,-495.583350214133,-495.629201403996,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.015511,
5897,2-Acetylaminofluorene,1,cc-pvtz(-f),496.0,1.0,-709.683759399842,-709.683759399842,-0.194992537825999,-0.02915510125367,195.91262671392,3.85948971350039,-1.80483249104847,3.20985345235973,-1.15545720052514,54.9296550302219,3582.32673250035,84.836283974936,0.0,151.540378983196,112.220920987286,8.87912418061188,-24.5795434117474,8.28663859178461,54.3223886902533,41.485470491187,-709.429058833212,-709.428114647319,-709.481434428442,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.750478,
79123,2-Butyl nitrate,1,cc-pvtz(-f),265.0,0.0,-438.310723583151,-438.310723583151,-0.31427000889743,-0.068636179718848,70.4574417811726,3.50616814042547,-2.26936545737855,-2.18909968625528,-1.53330949694726,98.6843160534858,3087.90742069593,110.651401232556,0.0,87.0959011612445,89.4044198842695,5.90051167721972,-20.7554161112752,5.30802608839244,30.6561187743625,35.03109021159,-438.163468550889,-438.162524364997,-438.205003290117,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.747459,
7245,2-Chlorophenol,1,cc-pvtz(-f),229.0,0.0,-767.209135636837,-767.209135636837,-0.234232988061919,-0.025585407466581,81.0920472302204,2.82275224911331,-0.598022402050327,-2.75867712255401,4.1632777596e-06,164.798688855869,3771.10164652205,244.521768621316,0.0,59.509978487481,81.077909190527,4.69032340412836,-19.4830552210273,4.09783781530109,25.2653128600402,32.8835934382652,-767.107770128675,-767.106825942783,-767.145348673962,,,,,,0.999999999997365,0.0228,0.0,0.0228,0.0184,0.018432737137097,0.0,0.0,10.057273,
182210,2-Deoxomatairesinol,1,cc-pvtz(-f),776.0,3.0,-1153.09924766415,-1153.09924766415,-0.174921837940424,0.002685460194122,246.01049659029,3.75583500141698,1.26857779823543,-0.744267020608167,3.45587521906218,25.9362451297858,3719.33628782827,42.1615891859781,0.0,257.078456249797,151.783703786244,14.5232212765044,-30.7310900073644,13.9307356876771,89.798087561241,51.8680801472174,-1152.66736702347,-1152.66642283758,-1152.73854017357,,,,,,0.999999999999776,0.0007,0.0,0.0007,0.0005,0.000458362077784,0.0,0.0,25.34756,
