"APDB_idx","Chemical_Name","Molecule_CID","Target_GI","Target_GeneID","Target_Symbol","UniProtKB","PDB","Resolution"
"T.1","1,2,4-Trichlorobenzene",13,325495497,6256,"RXRA","Q6P3U7",NA,NA
"T.2","1,2,4-Trichlorobenzene",13,325495463,5914,"RARA","P10276","1DSZ",1.7
"T.3","1,2,4-Trichlorobenzene",13,119601739,7253,"TSHR","A0A0A0MTJ0",NA,NA
"T.4","1,2,4-Trichlorobenzene",13,54288833,2100,"ESR2","F1D8N3",NA,NA
"T.5","1,2,4-Trichlorobenzene",13,348019627,2099,"ESR1","G4XH65",NA,NA
"T.6","1,2,4-Trichlorobenzene",13,55140668,1557,"CYP2C19","P33261","4GQS",2.87
"T.7","1,2,4-Trichlorobenzene",13,527178914,1559,"CYP2C9","P11712","1R9O",2
"T.8","Ethylene glycol",174,348019627,2099,"ESR1","G4XH65",NA,NA
"T.9","Ethylene glycol",174,1047837853,1565,"CYP2D6","C1ID52",NA,NA
"T.10","Acetic acid",176,125370,2534,"FYN","P06241","7A2P",0.9
"T.11","Acetic acid",176,125474,3932,"LCK","A0A0S2Z3Y8",NA,NA
"T.12","Acetic acid",176,4885329,2865,"FFAR3","A0A0K0PUW7",NA,NA
"T.13","Acetic acid",176,4885333,2867,"FFAR2","C6KYL4",NA,NA
"T.14","Acetic acid",176,119619719,1544,"CYP1A2","P05177","2HI4",1.95
"T.15","Acetaldehyde",177,124375976,367,"AR","P10275","4OHA",1.42
"T.16","Acetaldehyde",177,348019627,2099,"ESR1","G4XH65",NA,NA
"T.17","Acetaldehyde",177,119597822,1588,"CYP19A1","A0A024R5S8",NA,NA
"T.18","Acetaldehyde",177,325495463,5914,"RARA","P10276","1DSZ",1.7
"T.19","Acetaldehyde",177,66775687,9970,"NR1I3","Q14994","1XVP",2.6
"T.20","Acetaldehyde",177,325495545,2101,"ESRRA","P11474","3K6P",2
"T.21","Acetaldehyde",177,119601739,7253,"TSHR","A0A0A0MTJ0",NA,NA
"T.22","Acetaldehyde",177,109731339,2737,"GLI3","P10071","4BLD",2.8
"T.23","Acetaldehyde",177,116534990,8989,"TRPA1","O75762","6HC8",1.9
