similar_cid	measure	type	model	orig_cid
5943	0.9890647530555725	inorganic	FPBitsEmbedding	6371
6212	0.9884665608406067	inorganic	FPBitsEmbedding	6371
6278	0.9824429750442505	inorganic	FPBitsEmbedding	6371
6214	0.9756556153297424	inorganic	FPBitsEmbedding	6371
6344	0.9672883749008179	inorganic	FPBitsEmbedding	6371
3681305	0.9759255647659302	inorganic	FPBitsEmbedding	14781
1061	0.974290668964386	inorganic	FPBitsEmbedding	14781
3039	0.9627765417098999	inorganic	FPBitsEmbedding	14781
24682	0.995151937007904	inorganic	FPBitsEmbedding	1119
14264	0.9911569356918335	inorganic	FPBitsEmbedding	1119
6163	0.9897425770759583	inorganic	FPBitsEmbedding	1119
1117	0.9864146709442139	inorganic	FPBitsEmbedding	1119
6497	0.9854430556297302	inorganic	FPBitsEmbedding	1119
8777	0.9773417711257935	inorganic	FPBitsEmbedding	1119
31347	0.9683382511138916	inorganic	FPBitsEmbedding	1119
6213	0.9680490493774414	inorganic	FPBitsEmbedding	1119
6375	0.9699785113334656	inorganic	FPBitsEmbedding	145068
6587	0.9682238698005676	inorganic	FPBitsEmbedding	145068
398	0.9681987166404724	inorganic	FPBitsEmbedding	145068
11724	0.9648409485816956	inorganic	FPBitsEmbedding	145068
3032552	0.96237713098526	inorganic	FPBitsEmbedding	145068
6329	0.9773712158203125	inorganic	FPBitsEmbedding	223
222	0.9707105755805969	inorganic	FPBitsEmbedding	223
674	0.9694119691848755	inorganic	FPBitsEmbedding	223
13192	0.9710230827331543	inorganic	FPBitsEmbedding	6347
16212386	0.9651041030883789	inorganic	FPBitsEmbedding	6347
7672	0.9646241664886475	inorganic	FPBitsEmbedding	6347
11535	0.9720869064331055	inorganic	FPBitsEmbedding	136332
11588	0.9690410494804382	inorganic	FPBitsEmbedding	136332
15287	0.9880534410476685	organic	FPBitsEmbedding	32881
15286	0.9818917512893677	organic	FPBitsEmbedding	32881
7360	0.9811869859695435	organic	FPBitsEmbedding	32881
8087	0.9809947609901428	organic	FPBitsEmbedding	32881
17756	0.9750952124595642	organic	FPBitsEmbedding	32881
177691	0.9686253070831299	organic	FPBitsEmbedding	32881
25982	0.9674394130706787	organic	FPBitsEmbedding	32881
92629	0.967197060585022	organic	FPBitsEmbedding	32881
8019	0.9631795883178711	organic	FPBitsEmbedding	32881
8133	0.9607851505279541	organic	FPBitsEmbedding	32881
7471951	0.9923607707023621	organic	FPBitsEmbedding	70155
86258	0.9921135306358337	organic	FPBitsEmbedding	70155
93496	0.9893383383750916	organic	FPBitsEmbedding	70155
13432	0.9882224798202515	organic	FPBitsEmbedding	70155
39185	0.9878213405609131	organic	FPBitsEmbedding	70155
30086	0.9874499440193176	organic	FPBitsEmbedding	70155
13090	0.9859103560447693	organic	FPBitsEmbedding	70155
13462	0.984862744808197	organic	FPBitsEmbedding	70155
24121	0.9843026995658875	organic	FPBitsEmbedding	70155
114893	0.9828615188598633	organic	FPBitsEmbedding	70155
25760	0.9826629161834717	organic	FPBitsEmbedding	70155
44374	0.9825851917266846	organic	FPBitsEmbedding	70155
39184	0.9824281334877014	organic	FPBitsEmbedding	70155
50958	0.9812700152397156	organic	FPBitsEmbedding	70155
21694	0.9794648885726929	organic	FPBitsEmbedding	70155
62134	0.9789378643035889	organic	FPBitsEmbedding	70155
53230	0.9788139462471008	organic	FPBitsEmbedding	70155
149804	0.9788044095039368	organic	FPBitsEmbedding	70155
158032	0.9775365591049194	organic	FPBitsEmbedding	70155
11767	0.9765012264251709	organic	FPBitsEmbedding	70155
19168	0.9756051898002625	organic	FPBitsEmbedding	70155
70382	0.9743399024009705	organic	FPBitsEmbedding	70155
154901	0.97343510389328	organic	FPBitsEmbedding	70155
11764	0.9719250798225403	organic	FPBitsEmbedding	70155
6849	0.9715065956115723	organic	FPBitsEmbedding	70155
11803	0.9688734412193298	organic	FPBitsEmbedding	70155
