similar_cid	measure	type	model	orig_cid
24408	0.9894837737083435	inorganic	MolDescElemEmbedding	24526
23986	0.9480262994766235	inorganic	MolDescElemEmbedding	5352425
23964	0.9328670501708984	inorganic	MolDescElemEmbedding	5352425
23948	0.9324713349342346	inorganic	MolDescElemEmbedding	5352425
23992	0.9321953654289246	inorganic	MolDescElemEmbedding	5352425
23958	0.9312416315078735	inorganic	MolDescElemEmbedding	5352425
5462311	0.9663521647453308	inorganic	MolDescElemEmbedding	6327182
5360835	0.9628093242645264	inorganic	MolDescElemEmbedding	6327182
23938	0.940574049949646	inorganic	MolDescElemEmbedding	935
23973	0.9387782216072083	inorganic	MolDescElemEmbedding	935
23954	0.9364936947822571	inorganic	MolDescElemEmbedding	935
23994	0.9359277486801147	inorganic	MolDescElemEmbedding	935
23932	0.9358607530593872	inorganic	MolDescElemEmbedding	935
23990	0.9328709840774536	inorganic	MolDescElemEmbedding	935
5360835	0.9783204793930054	inorganic	MolDescElemEmbedding	5462309
6326970	0.9714975357055664	inorganic	MolDescElemEmbedding	5462309
5359596	0.9709151983261108	inorganic	MolDescElemEmbedding	5462309
23932	0.9644345045089722	inorganic	MolDescElemEmbedding	23963
29131	0.9584780335426331	inorganic	MolDescElemEmbedding	23963
23954	0.9516457319259644	inorganic	MolDescElemEmbedding	23963
23951	0.9455662369728088	inorganic	MolDescElemEmbedding	23989
23964	0.942643404006958	inorganic	MolDescElemEmbedding	23989
23986	0.9422104954719543	inorganic	MolDescElemEmbedding	23989
104730	0.9405102133750916	inorganic	MolDescElemEmbedding	23989
23988	0.9688652157783508	inorganic	MolDescElemEmbedding	23980
23986	0.9655528664588928	inorganic	MolDescElemEmbedding	23980
