similar_cid	measure	type	model	orig_cid
10039	0.9738593101501465	inorganic	MolDescEmbedding	6371
19660	0.9660781025886536	inorganic	MolDescEmbedding	6371
25477	0.996121346950531	inorganic	MolDescEmbedding	14781
11430	0.9866036176681519	inorganic	MolDescEmbedding	14781
10340	0.9851479530334473	inorganic	MolDescEmbedding	14781
9989226	0.9839140772819519	inorganic	MolDescEmbedding	14781
24682	0.9933890104293823	inorganic	MolDescEmbedding	1119
24261	0.9837294816970825	inorganic	MolDescEmbedding	1119
946	0.9824514389038086	inorganic	MolDescEmbedding	1119
1117	0.9815176129341125	inorganic	MolDescEmbedding	1119
280	0.980125904083252	inorganic	MolDescEmbedding	1119
943	0.9793839454650879	inorganic	MolDescEmbedding	1119
1061	0.9767630100250244	inorganic	MolDescEmbedding	1119
19660	0.9753704071044922	inorganic	MolDescEmbedding	1119
24823	0.9720985889434814	inorganic	MolDescEmbedding	1119
223	0.9705458283424377	inorganic	MolDescEmbedding	1119
14792	0.970435619354248	inorganic	MolDescEmbedding	1119
3681305	0.9701019525527954	inorganic	MolDescEmbedding	1119
962	0.9674063324928284	inorganic	MolDescEmbedding	1119
281	0.9664693474769592	inorganic	MolDescEmbedding	1119
222	0.9642482995986938	inorganic	MolDescEmbedding	1119
14917	0.9629330635070801	inorganic	MolDescEmbedding	1119
402	0.9611737132072449	inorganic	MolDescEmbedding	1119
6347	0.9997826814651489	inorganic	MolDescEmbedding	145068
222	0.9854733347892761	inorganic	MolDescEmbedding	223
962	0.985163152217865	inorganic	MolDescEmbedding	223
14917	0.9828287363052368	inorganic	MolDescEmbedding	223
297	0.9827808141708374	inorganic	MolDescEmbedding	223
24682	0.9757335782051086	inorganic	MolDescEmbedding	223
24841	0.9757322072982788	inorganic	MolDescEmbedding	223
402	0.9753488302230835	inorganic	MolDescEmbedding	223
14792	0.9743241667747498	inorganic	MolDescEmbedding	223
1119	0.9705459475517273	inorganic	MolDescEmbedding	223
281	0.9704006910324097	inorganic	MolDescEmbedding	223
24261	0.9701918959617615	inorganic	MolDescEmbedding	223
946	0.9692881107330322	inorganic	MolDescEmbedding	223
943	0.9679100513458252	inorganic	MolDescEmbedding	223
24823	0.9638450145721436	inorganic	MolDescEmbedding	223
280	0.9611878991127014	inorganic	MolDescEmbedding	223
145068	0.9997826814651489	inorganic	MolDescEmbedding	6347
3032552	0.8866581320762634	inorganic	MolDescEmbedding	136332
10039	0.8424866795539856	inorganic	MolDescEmbedding	136332
8172	0.8980586528778076	organic	MolDescEmbedding	32881
8087	0.8975167274475098	organic	MolDescEmbedding	32881
93496	0.987188458442688	organic	MolDescEmbedding	70155
6849	0.938969612121582	organic	MolDescEmbedding	70155
51720	0.9909408092498779	organic	MolDescEmbedding	39929
51130	0.9878224730491638	organic	MolDescEmbedding	39929
42138	0.9862139821052551	organic	MolDescEmbedding	39929
42128	0.9851561784744263	organic	MolDescEmbedding	39929
43495	0.9823964834213257	organic	MolDescEmbedding	39929
42140	0.9796066880226135	organic	MolDescEmbedding	39929
38200	0.9762197732925415	organic	MolDescEmbedding	39929
36231	0.9693224430084229	organic	MolDescEmbedding	39929
37036	0.9637919068336487	organic	MolDescEmbedding	39929
38016	0.9626525640487671	organic	MolDescEmbedding	39929
7570	0.921853244304657	organic	MolDescEmbedding	6838
135738785	0.8732726573944092	organic	MolDescEmbedding	6838
6497	0.8977598547935486	organic	MolDescEmbedding	76004
87622	0.8767200708389282	organic	MolDescEmbedding	76004
12679	0.876216471195221	organic	MolDescEmbedding	76004
162093	0.872646689414978	organic	MolDescEmbedding	76004
3039	0.8715510964393616	organic	MolDescEmbedding	76004
712	0.9996588826179504	organic	MolDescEmbedding	887
7366	0.8980181813240051	organic	MolDescEmbedding	7378
10812	0.8554719686508179	organic	MolDescEmbedding	7378
337121	0.9806787967681885	organic	MolDescEmbedding	9997
12309	0.9776439666748047	organic	MolDescEmbedding	9997
12732	0.9707925319671631	organic	MolDescEmbedding	9997
61018	0.9705551862716675	organic	MolDescEmbedding	9997
7846	0.9698914289474487	organic	MolDescEmbedding	9997
6326	0.9616766571998596	organic	MolDescEmbedding	9997
11263471	0.9609094858169556	organic	MolDescEmbedding	9997
6326	0.9800984859466553	organic	MolDescEmbedding	768
337121	0.9513019919395447	organic	MolDescEmbedding	768
9997	0.9502976536750793	organic	MolDescEmbedding	768
