similar_cid	measure	type	model	orig_cid
24524	0.9892674088478088	inorganic	QuantumPropsElemEmbedding	24526
23960	0.9927077889442444	inorganic	QuantumPropsElemEmbedding	5352425
23989	0.9917957186698914	inorganic	QuantumPropsElemEmbedding	5352425
23964	0.9913384914398193	inorganic	QuantumPropsElemEmbedding	5352425
5354495	0.9897043704986572	inorganic	QuantumPropsElemEmbedding	5352425
5359967	0.9896458387374878	inorganic	QuantumPropsElemEmbedding	5352425
5354618	0.9856783747673035	inorganic	QuantumPropsElemEmbedding	5352425
23926	0.9824544191360474	inorganic	QuantumPropsElemEmbedding	5352425
5359367	0.9814317226409912	inorganic	QuantumPropsElemEmbedding	5352425
5355457	0.9947584867477417	inorganic	QuantumPropsElemEmbedding	6327182
23993	0.9934789538383484	inorganic	QuantumPropsElemEmbedding	6327182
5357696	0.9883557558059692	inorganic	QuantumPropsElemEmbedding	6327182
3028194	0.9965867400169373	inorganic	QuantumPropsElemEmbedding	935
5462224	0.9930887818336487	inorganic	QuantumPropsElemEmbedding	935
5462311	0.9881459474563599	inorganic	QuantumPropsElemEmbedding	935
5360545	0.981940507888794	inorganic	QuantumPropsElemEmbedding	935
5360523	0.9466665983200073	inorganic	QuantumPropsElemEmbedding	5462309
5461123	0.9454851746559143	inorganic	QuantumPropsElemEmbedding	5462309
5359268	0.9429528117179871	inorganic	QuantumPropsElemEmbedding	5462309
5460341	0.9907706379890442	inorganic	QuantumPropsElemEmbedding	23963
6326954	0.9869950413703918	inorganic	QuantumPropsElemEmbedding	23963
23976	0.9858251810073853	inorganic	QuantumPropsElemEmbedding	23963
23964	0.9968534111976624	inorganic	QuantumPropsElemEmbedding	23989
5359967	0.9957934617996216	inorganic	QuantumPropsElemEmbedding	23989
5352425	0.9917958378791809	inorganic	QuantumPropsElemEmbedding	23989
23926	0.9917294979095459	inorganic	QuantumPropsElemEmbedding	23989
5359464	0.9902265071868896	inorganic	QuantumPropsElemEmbedding	23989
5354618	0.9890421628952026	inorganic	QuantumPropsElemEmbedding	23989
23960	0.9889362454414368	inorganic	QuantumPropsElemEmbedding	23989
5354495	0.9856042265892029	inorganic	QuantumPropsElemEmbedding	23989
23931	0.9851131439208984	inorganic	QuantumPropsElemEmbedding	23989
23986	0.9843804240226746	inorganic	QuantumPropsElemEmbedding	23989
5359367	0.9842376708984375	inorganic	QuantumPropsElemEmbedding	23989
5357696	0.9838605523109436	inorganic	QuantumPropsElemEmbedding	23989
23939	0.9825518727302551	inorganic	QuantumPropsElemEmbedding	23989
23956	0.9811620116233826	inorganic	QuantumPropsElemEmbedding	23989
23948	0.9808204174041748	inorganic	QuantumPropsElemEmbedding	23989
23912	0.9839813709259033	inorganic	QuantumPropsElemEmbedding	23980
23981	0.9819043874740601	inorganic	QuantumPropsElemEmbedding	23980
23958	0.9816904067993164	inorganic	QuantumPropsElemEmbedding	23980
