similar_cid	measure	type	model	orig_cid
6348	0.995993435382843	inorganic	QuantumPropsEmbedding	6371
10039	0.9896473288536072	inorganic	QuantumPropsEmbedding	6371
2365	0.9777339100837708	inorganic	QuantumPropsEmbedding	6371
31373	0.9665636420249939	inorganic	QuantumPropsEmbedding	6371
6391	0.9661187529563904	inorganic	QuantumPropsEmbedding	6371
6431	0.9657372832298279	inorganic	QuantumPropsEmbedding	6371
6389	0.9637055397033691	inorganic	QuantumPropsEmbedding	6371
6423	0.963670551776886	inorganic	QuantumPropsEmbedding	6371
6323	0.9606977701187134	inorganic	QuantumPropsEmbedding	6371
6392	0.9602901935577393	inorganic	QuantumPropsEmbedding	6371
25477	0.995454728603363	inorganic	QuantumPropsEmbedding	14781
34454	0.9936738610267639	inorganic	QuantumPropsEmbedding	14781
92373	0.9784607887268066	inorganic	QuantumPropsEmbedding	14781
31423	0.9514978528022766	inorganic	QuantumPropsEmbedding	1119
9989226	0.9123235940933228	inorganic	QuantumPropsEmbedding	1119
712	0.998947262763977	inorganic	QuantumPropsEmbedding	145068
281	0.9989287853240967	inorganic	QuantumPropsEmbedding	145068
887	0.998248279094696	inorganic	QuantumPropsEmbedding	145068
24841	0.9974212646484375	inorganic	QuantumPropsEmbedding	145068
14792	0.9969004392623901	inorganic	QuantumPropsEmbedding	145068
402	0.9944620132446289	inorganic	QuantumPropsEmbedding	145068
14917	0.9942474365234375	inorganic	QuantumPropsEmbedding	145068
962	0.9933018088340759	inorganic	QuantumPropsEmbedding	145068
3032552	0.9843090772628784	inorganic	QuantumPropsEmbedding	145068
24823	0.9808796644210815	inorganic	QuantumPropsEmbedding	145068
6430	0.9729386568069458	inorganic	QuantumPropsEmbedding	145068
6392	0.9721401929855347	inorganic	QuantumPropsEmbedding	145068
14778	0.9641891717910767	inorganic	QuantumPropsEmbedding	145068
936	0.972596287727356	inorganic	QuantumPropsEmbedding	223
13539	0.9622880816459656	inorganic	QuantumPropsEmbedding	223
7865	0.9978222250938416	inorganic	QuantumPropsEmbedding	6347
9550	0.9964187741279602	inorganic	QuantumPropsEmbedding	6347
7845	0.9953060746192932	inorganic	QuantumPropsEmbedding	6347
6046	0.992328405380249	inorganic	QuantumPropsEmbedding	6347
7612	0.9880445003509521	inorganic	QuantumPropsEmbedding	6347
6342	0.9876328706741333	inorganic	QuantumPropsEmbedding	6347
7924	0.984980583190918	inorganic	QuantumPropsEmbedding	6347
7854	0.9834142327308655	inorganic	QuantumPropsEmbedding	6347
7302	0.9807557463645935	inorganic	QuantumPropsEmbedding	6347
12720	0.9772290587425232	inorganic	QuantumPropsEmbedding	6347
10401	0.9760592579841614	inorganic	QuantumPropsEmbedding	6347
74208	0.9747911095619202	inorganic	QuantumPropsEmbedding	6347
88939	0.9736170768737793	inorganic	QuantumPropsEmbedding	6347
7519	0.9731106162071228	inorganic	QuantumPropsEmbedding	6347
6584	0.9719458818435669	inorganic	QuantumPropsEmbedding	6347
12228	0.9719298481941223	inorganic	QuantumPropsEmbedding	6347
20263	0.971358597278595	inorganic	QuantumPropsEmbedding	6347
7855	0.9696280360221863	inorganic	QuantumPropsEmbedding	6347
8025	0.9693291187286377	inorganic	QuantumPropsEmbedding	6347
6326	0.9692991971969604	inorganic	QuantumPropsEmbedding	6347
8857	0.9690274596214294	inorganic	QuantumPropsEmbedding	6347
7847	0.9661877155303955	inorganic	QuantumPropsEmbedding	6347
6735	0.9652827382087708	inorganic	QuantumPropsEmbedding	6347
768	0.9634091258049011	inorganic	QuantumPropsEmbedding	6347
7967	0.960262656211853	inorganic	QuantumPropsEmbedding	6347
24261	0.9942507743835449	inorganic	QuantumPropsEmbedding	136332
24682	0.9827389121055603	inorganic	QuantumPropsEmbedding	136332
280	0.9813607335090637	inorganic	QuantumPropsEmbedding	136332
24823	0.972526490688324	inorganic	QuantumPropsEmbedding	136332
3032552	0.969629168510437	inorganic	QuantumPropsEmbedding	136332
7055	0.9600957632064819	inorganic	QuantumPropsEmbedding	136332
6629	0.9960235357284546	organic	QuantumPropsEmbedding	32881
62465	0.9956738352775574	organic	QuantumPropsEmbedding	32881
8117	0.9941332936286926	organic	QuantumPropsEmbedding	32881
8129	0.993941068649292	organic	QuantumPropsEmbedding	32881
10393	0.9935240745544434	organic	QuantumPropsEmbedding	32881
177691	0.9931941032409668	organic	QuantumPropsEmbedding	32881
11335	0.9924225807189941	organic	QuantumPropsEmbedding	32881
10687	0.9915095567703247	organic	QuantumPropsEmbedding	32881
15286	0.9913643598556519	organic	QuantumPropsEmbedding	32881
15287	0.9910840392112732	organic	QuantumPropsEmbedding	32881
460	0.9905304312705994	organic	QuantumPropsEmbedding	32881
1030	0.990467369556427	organic	QuantumPropsEmbedding	32881
62118	0.9903338551521301	organic	QuantumPropsEmbedding	32881
6997	0.9898632168769836	organic	QuantumPropsEmbedding	32881
2879	0.9896445870399475	organic	QuantumPropsEmbedding	32881
7720	0.9889750480651855	organic	QuantumPropsEmbedding	32881
7966	0.9889662861824036	organic	QuantumPropsEmbedding	32881
263	0.9889522790908813	organic	QuantumPropsEmbedding	32881
20129	0.9889333844184875	organic	QuantumPropsEmbedding	32881
31236	0.9888091087341309	organic	QuantumPropsEmbedding	32881
17756	0.9886814951896667	organic	QuantumPropsEmbedding	32881
174	0.9885430932044983	organic	QuantumPropsEmbedding	32881
8103	0.9883647561073303	organic	QuantumPropsEmbedding	32881
7144	0.9882689714431763	organic	QuantumPropsEmbedding	32881
14123547	0.9881241321563721	organic	QuantumPropsEmbedding	32881
25203927	0.9880096316337585	organic	QuantumPropsEmbedding	32881
10383	0.9879616498947144	organic	QuantumPropsEmbedding	32881
7298	0.9875277876853943	organic	QuantumPropsEmbedding	32881
7041	0.9874064922332764	organic	QuantumPropsEmbedding	32881
8134	0.9871758222579956	organic	QuantumPropsEmbedding	32881
335	0.9871039390563965	organic	QuantumPropsEmbedding	32881
31260	0.9870782494544983	organic	QuantumPropsEmbedding	32881
24055	0.9867380857467651	organic	QuantumPropsEmbedding	32881
33781	0.9867377877235413	organic	QuantumPropsEmbedding	32881
10787	0.9866040945053101	organic	QuantumPropsEmbedding	32881
75103	0.9865448474884033	organic	QuantumPropsEmbedding	32881
93000	0.986373245716095	organic	QuantumPropsEmbedding	32881
14846	0.9862164258956909	organic	QuantumPropsEmbedding	32881
332	0.9861344695091248	organic	QuantumPropsEmbedding	32881
18302	0.9858996868133545	organic	QuantumPropsEmbedding	32881
90902	0.985832691192627	organic	QuantumPropsEmbedding	32881
7292	0.9857664704322815	organic	QuantumPropsEmbedding	32881
10698	0.9857592582702637	organic	QuantumPropsEmbedding	32881
262	0.985628068447113	organic	QuantumPropsEmbedding	32881
10557	0.9855819940567017	organic	QuantumPropsEmbedding	32881
8076	0.9850671887397766	organic	QuantumPropsEmbedding	32881
7344	0.9846981763839722	organic	QuantumPropsEmbedding	32881
7360	0.9845263957977295	organic	QuantumPropsEmbedding	32881
8133	0.9844309091567993	organic	QuantumPropsEmbedding	32881
31242	0.9840221405029297	organic	QuantumPropsEmbedding	32881
753	0.9839442372322083	organic	QuantumPropsEmbedding	32881
8146	0.9837784767150879	organic	QuantumPropsEmbedding	32881
7361	0.9834545254707336	organic	QuantumPropsEmbedding	32881
93269	0.9833964109420776	organic	QuantumPropsEmbedding	32881
8663	0.9833342432975769	organic	QuantumPropsEmbedding	32881
61018	0.9832276701927185	organic	QuantumPropsEmbedding	32881
17291	0.9827408790588379	organic	QuantumPropsEmbedding	32881
92629	0.9825260639190674	organic	QuantumPropsEmbedding	32881
6276	0.98218834400177	organic	QuantumPropsEmbedding	32881
7902	0.9820975661277771	organic	QuantumPropsEmbedding	32881
342	0.9818441867828369	organic	QuantumPropsEmbedding	32881
8019	0.9813022613525391	organic	QuantumPropsEmbedding	32881
10442	0.9808712601661682	organic	QuantumPropsEmbedding	32881
31256	0.9808427691459656	organic	QuantumPropsEmbedding	32881
7900	0.9807275533676147	organic	QuantumPropsEmbedding	32881
7017	0.9807121753692627	organic	QuantumPropsEmbedding	32881
12053	0.9804253578186035	organic	QuantumPropsEmbedding	32881
21210	0.9803679585456848	organic	QuantumPropsEmbedding	32881
6560	0.9800153374671936	organic	QuantumPropsEmbedding	32881
92839	0.979618489742279	organic	QuantumPropsEmbedding	32881
8064	0.9795377254486084	organic	QuantumPropsEmbedding	32881
12580	0.9787377715110779	organic	QuantumPropsEmbedding	32881
244	0.9785265326499939	organic	QuantumPropsEmbedding	32881
8880	0.9780716896057129	organic	QuantumPropsEmbedding	32881
442649	0.977878987789154	organic	QuantumPropsEmbedding	32881
22386	0.9773603677749634	organic	QuantumPropsEmbedding	32881
25006	0.9770857691764832	organic	QuantumPropsEmbedding	32881
4	0.9768023490905762	organic	QuantumPropsEmbedding	32881
61868	0.9763275384902954	organic	QuantumPropsEmbedding	32881
10997535	0.9761754870414734	organic	QuantumPropsEmbedding	32881
12732	0.9749457240104675	organic	QuantumPropsEmbedding	32881
6854	0.9747685194015503	organic	QuantumPropsEmbedding	32881
798	0.9742543697357178	organic	QuantumPropsEmbedding	32881
785	0.9734899401664734	organic	QuantumPropsEmbedding	32881
1031	0.9725198149681091	organic	QuantumPropsEmbedding	32881
3032390	0.9723265171051025	organic	QuantumPropsEmbedding	32881
6736	0.9723096489906311	organic	QuantumPropsEmbedding	32881
18827	0.9708821177482605	organic	QuantumPropsEmbedding	32881
11487	0.9700788259506226	organic	QuantumPropsEmbedding	32881
7005	0.969903290271759	organic	QuantumPropsEmbedding	32881
135442	0.9695934057235718	organic	QuantumPropsEmbedding	32881
3314	0.9695343971252441	organic	QuantumPropsEmbedding	32881
13360	0.968829333782196	organic	QuantumPropsEmbedding	32881
5054	0.9680436253547668	organic	QuantumPropsEmbedding	32881
7910	0.967945396900177	organic	QuantumPropsEmbedding	32881
6579	0.9678001999855042	organic	QuantumPropsEmbedding	32881
1183	0.9658656716346741	organic	QuantumPropsEmbedding	32881
6386	0.9657077193260193	organic	QuantumPropsEmbedding	32881
6568	0.9656692743301392	organic	QuantumPropsEmbedding	32881
337121	0.965064287185669	organic	QuantumPropsEmbedding	32881
6405	0.9646726846694946	organic	QuantumPropsEmbedding	32881
8087	0.9641237854957581	organic	QuantumPropsEmbedding	32881
5463846	0.9631214141845703	organic	QuantumPropsEmbedding	32881
7896	0.9627121090888977	organic	QuantumPropsEmbedding	32881
670	0.9617414474487305	organic	QuantumPropsEmbedding	32881
7858	0.9614543318748474	organic	QuantumPropsEmbedding	32881
